Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg), activity
0.3000030,5.640739,7.899669,0.105345,9.707410,89.378212,54.471359,hold
0.3108100,5.668272,7.890092,0.180762,9.716766,88.934059,54.306389,hold
0.3199660,5.746084,7.920019,0.262165,9.788407,88.465248,54.038593,hold
0.3299500,5.797559,7.906851,0.366313,9.811431,87.860344,53.749924,hold
0.3400930,5.888539,7.866150,0.468066,9.837190,87.272758,53.181755,hold
0.3500890,6.036980,7.862558,0.511162,9.926038,87.048126,52.482456,hold
0.3600820,6.227319,7.921216,0.556652,10.091334,86.837883,51.827099,hold
0.3713150,6.355408,8.013393,0.538695,10.241869,86.985001,51.582127,hold
0.3799730,6.369773,8.042124,0.421380,10.267781,87.647980,51.618977,hold
0.3903360,6.268020,7.975086,0.317232,10.148434,88.208687,51.834419,hold
0.3999620,6.159084,7.849391,0.324414,9.982610,88.137680,51.880226,hold
0.4100430,6.062119,7.702147,0.289698,9.805930,88.307053,51.794823,hold
0.4199320,5.960365,7.631518,0.363919,9.690122,87.847717,52.009464,hold
0.4307500,5.973533,7.621941,0.617704,9.703538,86.350220,51.913185,hold
0.4399600,6.070498,7.653066,0.344765,9.774417,87.978630,51.578152,hold
0.4500290,5.931635,7.756016,0.248997,9.767399,88.539223,52.592018,hold
0.4598390,5.771223,7.808689,0.057461,9.710094,89.660942,53.532742,hold
0.4702550,5.714960,7.842207,-0.058658,9.703835,90.346344,53.917538,hold
0.4809030,5.723339,7.874529,-0.062249,9.734921,90.366379,53.989723,hold
0.4906010,5.774815,7.922413,-0.015562,9.803742,90.090950,53.910904,hold
0.5000820,5.817910,7.957129,0.059855,9.857361,89.652092,53.827335,hold
0.5099010,5.841852,7.989451,0.152032,9.898569,89.119965,53.825890,hold
0.5205910,5.904101,7.964312,0.256180,9.917374,88.519806,53.449734,hold
0.5307640,5.946000,7.806294,0.347159,9.819046,87.973846,52.703728,hold
0.5402850,5.955577,7.806294,0.415394,9.827497,87.577469,52.659271,hold
0.5502650,6.028600,7.811083,0.444124,9.876956,87.422783,52.339012,hold
0.5599670,6.096835,7.867347,0.465672,9.964106,87.321304,52.225948,hold
0.5708870,6.101623,7.911640,0.452504,10.001431,87.406830,52.359837,hold
0.5803260,6.095637,7.905654,0.391452,9.990465,87.754433,52.366058,hold
0.5907620,6.052542,7.851785,0.350751,9.920020,87.973724,52.373196,hold
0.6002110,6.005855,7.805098,0.342371,9.854291,88.008957,52.422489,hold
0.6103520,5.959168,7.759608,0.331597,9.789441,88.058853,52.476715,hold
0.6210750,5.928043,7.742848,0.275333,9.755470,88.382698,52.561779,hold
0.6303909,5.893328,7.746439,0.232238,9.736147,88.633186,52.736889,hold
0.6412870,5.863400,7.785944,0.184354,9.748557,88.916420,53.017509,hold
0.6503699,5.877765,7.831434,0.108936,9.792413,89.362595,53.110489,hold
0.6600580,5.913678,7.831434,0.073023,9.813678,89.573662,52.942787,hold
0.6710210,5.892130,7.814674,0.114922,9.787724,89.327248,52.984333,hold
0.6805200,5.872977,7.829040,0.164003,9.788392,89.039970,53.124496,hold
0.6907100,5.917270,7.839813,0.153229,9.823453,89.106247,52.955524,hold
0.7000660,5.928043,7.820660,0.172383,9.814995,88.993652,52.837948,hold
0.7102979,5.910087,7.803900,0.204704,9.791419,88.802055,52.862450,hold
0.7219870,5.916072,7.805098,0.193930,9.795768,88.865623,52.838768,hold
0.7318830,5.931635,7.825448,0.197522,9.821453,88.847633,52.838127,hold
0.7404910,5.956774,7.833828,0.202310,9.843422,88.822327,52.750961,hold
0.7504519,5.991490,7.833828,0.227449,9.865017,88.678864,52.590420,hold
0.7601430,6.038177,7.836222,0.276530,9.896586,88.398834,52.384064,hold
0.7710400,6.058527,7.836222,0.302867,9.909786,88.248634,52.290817,hold
0.7800620,6.059724,7.842207,0.312443,9.915548,88.194283,52.306507,hold
0.7906850,6.033388,7.837419,0.299275,9.895275,88.266869,52.410267,hold
0.8000430,6.022614,7.806294,0.322020,9.864777,88.129333,52.349545,hold
0.8105100,6.040571,7.779958,0.356736,9.856141,87.925766,52.173267,hold
0.8209100,6.083666,7.815871,0.393846,9.912313,87.722870,52.103760,hold
0.8308780,6.102820,7.868544,0.387861,9.965382,87.769440,52.202946,hold
0.8404810,6.088455,7.874529,0.322020,9.958976,88.147034,52.289402,hold
0.8501900,6.032191,7.858967,0.274136,9.910895,88.414993,52.491772,hold
0.8599780,5.942409,7.829040,0.244209,9.831873,88.576714,52.800724,hold
0.8707630,5.866991,7.845799,0.228646,9.799512,88.663033,53.211315,hold
0.8813379,5.908890,7.898471,0.146046,9.865199,89.151749,53.199635,hold
0.8904769,5.920861,7.948750,0.113725,9.912222,89.342621,53.318329,hold
0.9001920,5.908890,7.977480,0.106542,9.928067,89.385124,53.472790,hold
0.9104440,5.914876,7.977480,0.088585,9.931455,89.488930,53.445038,hold
0.9200320,5.919664,7.941567,0.100556,9.905605,89.418350,53.299061,hold
0.9306080,5.914876,7.875727,0.156820,9.850757,89.087837,53.092499,hold
0.9400110,5.906496,7.814674,0.209493,9.797944,88.774849,52.917244,hold
0.9501290,5.904101,7.751228,0.252588,9.746986,88.515045,52.703518,hold
0.9602680,5.983110,7.710526,0.266953,9.763251,88.433182,52.189735,hold
0.9705100,6.016629,7.686584,0.328006,9.766831,88.075439,51.948147,hold
0.9811450,6.002264,7.712921,0.341174,9.779198,88.000679,52.109627,hold
0.9903730,6.030994,7.769185,0.296881,9.839779,88.271034,52.178841,hold
